,Unnamed: 0,First,Second
0,0,ПИКОЧО-ПОЛОВО,С-МА
10,10,на,артериите
11,11,на,гръд.кош
18,18,условията,на
23,23,се,постигне
24,24,НА,ВЪРХА
27,27,на,извънболничната
28,28,извънболничната,помощ
29,29,тъй,като
36,36,да,бъда
37,37,да,осигури
38,38,да,заплати
39,39,заплати,при
40,40,при,назначаването
41,41,назначаването,им
46,46,осигури,достатъчен
47,47,достатъчен,РС
56,56,ЗА,ВЪЗРАСТТА
58,58,желая,да
62,62,с,изтръпвания
63,63,изтръпвания,и
64,64,за,преписване
65,65,преписване,на
68,68,типа,на
69,69,кръвоносни,съдове
70,70,тест,лента
71,71,и,вид.разширени
78,78,dorsalis,pedis
80,80,начин,на
81,81,взет,на
82,82,гръбначен,стълб
83,83,магистрални,А.А
84,84,А.А,кръвоносни
86,86,изместена,междинна
89,89,е,съгласен
90,90,съгласен,да
92,92,чужда,помощ
106,106,на,достъпните
107,107,ПО,ХОДА
108,108,назначената,терапия
111,111,на,съдовете
112,112,и,апикално
115,115,тест,ленти
118,118,без,шум.находка
119,119,маркирани,отоци
125,125,с,акцентуация
126,126,акцентуация,на
134,134,на,ларинкса
135,135,загуба,на
136,136,сетивност-в,норма
146,146,пикочния,мехур
147,147,сухота,в
148,148,изтичане,на
149,149,и,алоориентиран
150,150,отговарящ,на
154,154,рак,на
155,155,физикални,данни
156,156,лещено,зърно
164,164,кръвното,налягане
166,166,НАЛИЧИЕ,НА
167,167,реполаризационни,промени
170,170,опорно-двигателен,апарат
172,172,съвети,за
173,173,на,талията
174,174,НА,ГРЪДНИЯ
187,187,искане,на
188,188,рискови,фактори
190,190,ПИКОЧО-ПОЛОВА,С-МА
192,192,изчерпващ,се
194,194,и,сетивност-нормални
195,195,граници-в,норма
201,201,със,ЗСП
202,202,ЗСП,на
210,210,на,живот
216,216,на,а.радиалис
217,217,ценз,КОРЕМ
218,218,ОПЛАКВА,СЕ
219,219,при,обичайни
222,222,позата,на
235,235,граници-норма,рит
236,236,заседнал,начин
237,237,глюкоза,протеини
238,238,протеини,кетонни
253,253,засилващи,се
267,267,ПРОМЕНИ,ХАРАКТЕРНИ
268,268,ХАРАКТЕРНИ,ЗА
270,270,действие,приложение
271,271,приложение,странични
272,272,цена,заплащана
275,275,поясни,прешлени
276,276,се,получават
286,286,има,лекарствени
287,287,УДЪЛЖЕНО,ИЗДИШВАНЕ
291,291,на,магистралните
295,295,преглед-след,месеца
308,308,отделяне,на
309,309,засилваща,се
310,310,ИЗПИСВАНЕ,НА
311,311,с,по-ниска
312,312,по-ниска,цена
313,313,сърдечносъдови,заболявания
314,314,ПО,ПОВОД
316,316,лекарство,неговото
317,317,неговото,действие
318,318,частично,заплащане
319,319,заплащане,от
320,320,същото,международно
327,327,в,акта
328,328,акта,на
336,336,без,отоци-двустранно
344,344,позите,за
347,347,и,образователния
348,348,образователния,ценз
355,355,в,ритъма
356,356,ритъма,и
357,357,и,проводимостта
363,363,на,поясните
367,367,максимум,на
368,368,подребрената,дъга
381,381,нормални-сърдечни,граници
382,382,съмнение,за
383,383,прескачане,на
384,384,консултативен,преглед
385,385,с,неправилна
391,391,В,ОСНОВИТЕ
392,392,от,групата
393,393,групата,на
396,396,ЕЗИК,ВЛАЖЕН
397,397,дишането,дишания
412,412,колянната,става
423,423,отвличане,на
424,424,вниманието,изчезва
430,430,пристягане,в
431,431,поява,на
449,449,в,орбитите
459,459,ЧМН,без-пат-лезии
476,476,добро,интелектуално
477,477,интелектуално,развитие
482,482,вредни,навици
483,483,отстраняване,на
485,485,при,минимални
487,487,намаление,на
488,488,отговарящо,на
505,505,по,органичен
509,509,с,камертон
530,530,по-малко,от
536,536,планувана,за
545,545,обилие,от
578,578,обема,на
592,592,явни,и
601,601,годишен,профилактичен
603,603,бяло,течение
608,608,от,специалистите
612,612,по,фланговете
616,616,запазено,тоново
617,617,тоново,съотношение
618,618,И,ВИД
624,624,ИЗПРАЩА,СЕ
631,631,пул.чисто,вез.дишане
638,638,без,отоци.намалена
646,646,за,самонаблюдение
647,647,паренхимни,органи-
649,649,АОРТЕН,ТОН
650,650,крило,на
657,657,на,активните
658,658,активните,движения
663,663,СЪХРАНЕНО,ОБЩО
671,671,отоци-запазени,пулсации
686,686,на,календарна
696,696,поставяне,на
697,697,се,повлиява
698,698,повлиява,от
700,700,в,рамките
701,701,рамките,на
703,703,СЪОБЩАВА,ЗА
711,711,емоционална,сфера-запазена
714,714,правилно,конфигурирана
725,725,и,слез
727,727,сакрален,отдел
729,729,сметка,на
730,730,на,пер.артерии
755,755,КОМПЕНСИРАНО,ОБЩО
768,768,И,СРЕДНИ
769,769,големия,кръг
770,770,кръг,на
776,776,на,а.д.педис
778,778,и,наранявания
785,785,на,крайниците-запазени
790,790,обичаен,цвят
791,791,ИНФОРМИРАН,СЪМ
792,792,ЗА,ВИДА
793,793,ВИДА,ЛЕКАРСТВО
794,794,ЛЕКАРСТВО,НЕГОВОТО
797,797,ПРИЛОЖЕНИЕ,СТРАНИЧНИ
800,800,РЕД,И
801,801,И,НАЧИН
802,802,НАЧИН,НА
803,803,НА,ПРИЕМАНЕ
804,804,ПРИЕМАНЕ,НАПЪЛНО
805,805,ЧАСТИЧНО,ЗАПЛАЩАНЕ
806,806,ЗАПЛАЩАНЕ,ОТ
807,807,НЗОК,КАКТО
808,808,КАКТО,И
809,809,И,ДАЛИ
810,810,ДАЛИ,ИМА
811,811,ИМА,ЛЕКАРСТВЕНИ
812,812,ЛЕКАРСТВЕНИ,ПРОДУКТИ
813,813,ПРОДУКТИ,СЪС
814,814,СЪС,СЪЩОТО
815,815,СЪЩОТО,МЕЖДУНАРОДНО
818,818,НАИМЕНОВАНИЕ,С
821,821,ЦЕНА,ЗАПЛАЩАНА
822,822,ЗАПЛАЩАНА,ЧАСТИЧНО
825,825,по,клепачите.
861,861,медикаментозно,лечение
862,862,НА,ДЕБЕЛОТО
864,864,на,свят
865,865,на,простатната
866,866,простатната,жлеза
867,867,ФИЗИЧЕСКИ,УСИЛИЯ
868,868,през,нощта
870,870,оптимален,контрол
871,871,артериално,налягане
873,873,пер.вени,б.о
876,876,на,а.дорз
880,880,на,тъканите
882,882,с,помощта
883,883,помощта,на
903,903,травматична,ампутация
906,906,се,регистрират
910,910,оперативният,цикатрикс
912,912,ОЧНИ,ДЪНА
917,917,с,накуцване
919,919,мисловна,дейност
921,921,МЛЕЧНА,ЖЛЕЗА
923,923,куцаща,походка
924,924,ДОЛАВЯ,ШЕПОТНА
928,928,ОТГОВАРЯЩА,НА
936,936,НЕ,МОЖЕ
938,938,за,ОДН
942,942,останали,органи
964,964,В,ДИШАНЕТО
981,981,еднакъв,на
991,991,система-нарушени,координационни
1020,1020,носоглътка,спокойна
1026,1026,датира,от
1027,1027,в,аналната
1028,1028,вида,действието
1029,1029,в,неврология
1055,1055,и,пола
1056,1056,пола,без
1057,1057,интензивно,зачервен
1061,1061,се,визуализират
1062,1062,слузна,секреция
1065,1065,дишане,адхезии
1066,1066,адхезии,в
1067,1067,на,дебелите
1076,1076,стичащ,се
1084,1084,железа-нормална,консистенция
