,Unnamed: 0,First,Second,Count
1,1,без,отоци,7400
4,4,сърдечна,дейност,6613
5,5,ясни,тонове,6034
6,6,не,се,5940
8,8,се,палпират,4303
9,9,дишане,без,4297
11,11,и,слезка,4001
12,12,мек,неболезнен,3966
14,14,ритмична,сърдечна,3500
15,15,общо,състояние,3378
16,16,тонове,без,3233
18,18,дроб,и,3127
19,19,без,хрипове,2974
21,21,без,прибавени,2886
22,22,РСД,ясни,2846
26,26,БЯЛ,ДРОБ,2356
28,28,прибавени,шумове,2163
30,30,в,норма,2123
31,31,ССС,РСД,2077
33,33,данни,за,1966
34,34,и,видими,1876
35,35,перкуторен,тон,1866
36,36,не,болезнен,1845
38,38,слезка,не,1700
42,42,пулсации,на,1660
43,43,видими,лигавици,1660
44,44,дейност,ясни,1656
45,45,слезка,неувеличени,1650
47,47,нивото,на,1580
49,49,мек,не,1528
50,50,тегло,кг,1510
51,51,ясен,перкуторен,1478
53,53,сърдечни,тонове,1460
54,54,се,палпира,1445
56,56,в,дясно,1431
57,57,и,шия,1425
59,59,меко-еластични,стени,1400
63,63,мек,палпаторно,1343
66,66,дишане,с,1326
67,67,и,СЛЕЗКА,1308
68,68,палпират,увеличени,1301
75,75,палпаторно,неболезнен,1200
76,76,отоци,по,1187
77,77,запазени,пулсации,1179
79,79,корем,мек,1174
81,81,шия,б.о,1157
82,82,и,ШИЯ,1156
83,83,ГЛАВА,и,1155
86,86,крайници,без,1101
87,87,СЪРЦЕ,ритмична,1087
88,88,статус,б.о,1084
90,90,долни,крайници,1050
92,92,болка,в,1013
94,94,палпаторна,болезненост,1007
97,97,и,лигавици,1002
98,98,оперативен,цикатрикс,1000
99,99,ОДА,без,991
107,107,в,ляво,956
109,109,ЛИМФНИ,ВЪЗЛИ,941
111,111,ЧВД,ясен,930
112,112,без,патологични,922
114,114,КОРЕМ,мек,904
119,119,на,лява,870
121,121,областта,на,850
125,125,на,нивото,831
126,126,в,областта,828
128,128,без,данни,820
130,130,без,шумове,812
131,131,крайници,б.о,812
133,133,се,от,802
134,134,ОДА,б.о,802
135,135,и,крайници,798
138,138,на,дясна,789
144,144,черен,дроб,776
145,145,неболезнен,при,770
146,146,сухи,свиркащи,769
148,148,по,подбедриците,764
149,149,мек,без,763
150,150,лигавици,розови,761
151,151,глухи,тонове,757
152,152,хода,на,754
153,153,кг,ИТМ,753
154,154,кожа,и,750
155,155,по,хода,748
157,157,лимфни,възли,738
159,159,свиркащи,хрипове,729
160,160,мек,спокоен,729
163,163,ПЕРИФЕРНИ,ЛИМФНИ,723
165,165,прибавени,хрипове,719
167,167,болезненост,в,718
168,168,тонове,ясни,716
171,171,дроб,на,680
173,173,ЧМН,б.о,677
174,174,движения,в,676
176,176,ритмична,нормофреквентна,664
180,180,(,),629
182,182,по,повод,628
183,183,шум,на,625
184,184,палпаторна,болка,622
187,187,болезнен,в,612
190,190,ясни,сърдечни,601
194,194,хрипове,двустранно,588
195,195,възли,не,587
197,197,ССС,ритмична,582
201,201,на,долни,576
202,202,вени,б.о,576
204,204,нормофреквентна,сърдечна,566
205,205,шумова,находка,565
208,208,дишане,двустранно,556
210,210,в,двете,551
212,212,в,дясна,549
213,213,отоци,запазени,548
214,214,хрипове,в,541
217,217,на,двете,535
219,219,ребрена,дъга,522
220,220,дейност,с,519
222,222,в,лява,516
224,224,ШИЯ,б.о,510
225,225,болки,в,508
226,226,ребрената,дъга,508
228,228,болезнен,при,493
229,229,влажни,хрипове,489
232,232,над,нивото,487
233,233,отоци,и,486
234,234,за,време,481
235,235,РСД,тонове,481
236,236,дишане,СЪРЦЕ,479
237,237,палпаторно,болезнен,478
238,238,ПСИХИЧЕСКИ,СТАТУС,476
240,240,цикатрикс,от,474
241,241,б.о,ПЕРИФЕРНИ,473
242,242,неболезнен,без,472
244,244,добро,общо,470
246,246,за,възрастта,469
250,250,на,гръдния,461
251,251,ПЕРИФЕРНИ,ВЕНИ,461
252,252,без,шумова,461
253,253,ОПОРНО-ДВИГ.АПАРАТ,б.о,460
254,254,мек,болезнен,459
255,255,на,ребрена,459
258,258,артрозни,промени,456
261,261,ПЛВ,и,449
264,264,ДРОБ,чисто,447
267,267,без,отклонения,444
268,268,ПИКОЧО-ПОЛОВО,С-МА,440
270,270,статус,без,439
272,272,наличие,на,435
274,274,увредено,общо,423
275,275,жлези,б.о,423
277,277,бледо,розови,421
279,279,гръден,кош,417
281,281,се,за,416
282,282,гръдния,кош,416
284,284,болезнени,движения,409
285,285,над,симфизата,408
289,289,и,болезнени,403
290,290,МЛ,ЖЛЕЗИ,403
293,293,синусов,ритъм,397
302,302,състояние,б.о,387
304,304,КОРЕМ,МЕК,386
306,306,лигавици,бледи,386
308,308,СЛЕЗКА,не,384
310,310,периферни,пулсации,380
311,311,на,върха,379
313,313,и,далак,378
314,314,НА,МЛ,377
318,318,ГЪРЛО,б.о,372
320,320,И,БЯЛ,369
321,321,на,ребрената,369
323,323,ИТМ,талия,368
325,325,дейност,без,365
327,327,дейност,глухи,364
328,328,не,увеличени,364
334,334,двете,подбедрици,359
335,335,б.о,БЯЛ,359
336,336,VOD,VOS,359
337,337,претибиални,отоци,358
340,340,РСД,с,355
341,341,хрипове,ССС,354
345,345,ПЛВ,не,349
346,346,без,застой,349
347,347,без,оттоци,348
349,349,реналис,двустранно,346
350,350,жлеза,неувеличена,343
353,353,добра,перисталтика,339
354,354,лигавици,бледо,337
356,356,удължен,експириум,332
357,357,дроб,чисто,331
358,358,меки,стени,331
360,360,и,вид,329
363,363,дроб,не,328
365,365,щитовидна,жлеза,326
367,367,дишане,ССС,321
368,368,сърдечни,граници,321
369,369,общо,с-е,319
373,373,удължено,издишване,316
375,375,и,спокоен,315
376,376,жлеза,не,315
378,378,се,опипват,314
379,379,оток,на,313
380,380,задоволително,общо,313
383,383,дребни,влажни,311
387,387,ограничени,движения,307
388,388,цикатрикс,в,306
390,390,място,и,304
392,392,в,основите,303
394,394,изписване,на,302
396,396,ВЪЗЛИ,не,299
397,397,долните,крайници,297
398,398,И,ТОНЗИЛИ,297
399,399,шепотна,реч,297
402,402,за,самоизследване,294
403,403,дясно,подребрие,293
406,406,ГЪРЛО,И,291
408,408,спокоен,с,290
410,410,ВЕНИ,б.о,288
412,412,слезка,б.о,285
413,413,на,ниво,284
414,414,с,добра,284
415,415,сухи,хрипове,283
423,423,налягане,ИТМ,279
424,424,със,запазени,279
425,425,психичен,статус,278
426,426,леки,отоци,278
427,427,норма,за,277
429,429,с,честота,276
430,430,дейност,тонове,276
432,432,със,сухи,275
434,434,не,увеличена,275
437,437,диабетно,стъпало,274
440,440,чисто,вез.дишане,274
441,441,коленни,стави,273
442,442,на,видима,273
444,444,вени,без,270
446,446,запазен,тонус,269
447,447,в,дишането,269
449,449,видима,възраст,267
450,450,ЩИТОВИДНА,ЖЛЕЗА,267
452,452,с,корекция,267
453,453,вез.дишане,без,267
454,454,лигавици,б.о,266
456,456,жлеза,б.о,266
457,457,млечна,жлеза,265
465,465,статус,в,261
466,466,дишане,със,261
468,468,без,добавени,258
469,469,б.о,ОДА,256
472,472,лява,гърда,254
473,473,син,ритъм,254
474,474,реч,ЗРЕНИЕ,253
476,476,нормална,перисталтика,251
477,477,дишане,отслабено,251
478,478,приглушени,тонове,251
479,479,разширени,вени,250
480,480,с,големина,250
482,482,респираторно,подвижен,250
483,483,време,и,249
484,484,далак,не,249
485,485,статус,нормален,249
487,487,цикатрикс,на,248
489,489,РСД,чисти,247
491,491,запазена,перисталтика,247
496,496,с,удължен,246
497,497,ЕЗИК,б.о,245
500,500,тонус,без,244
501,501,А,РСД,244
502,502,общо,с-ние,243
503,503,б.о,ГЪРЛО,243
504,504,и,чисти,243
506,506,млечни,жлези,240
509,509,тон,на,239
510,510,болка,по,238
512,512,време,място,237
519,519,отговаряща,на,234
520,520,и,място,234
521,521,в,корема,232
524,524,сетивност,на,232
525,525,мек,палпаторна,232
526,526,за,диабетно,231
528,528,запазени,периферни,231
530,530,ориентиран,за,230
531,531,с,нормална,230
532,532,с,удължено,230
533,533,долавя,шепотна,229
536,536,СЪРДЕЧНА,ДЕЙНОСТ,229
538,538,патологични,отклонения,227
539,539,БЕЗ,ОТОЦИ,227
540,540,граници,в,226
544,544,дроб,неувеличен,224
545,545,ритмични,тонове,224
546,546,по,двете,223
547,547,участие,в,223
549,549,в,момента,222
550,550,ограничени,и,222
551,551,ОПОРНО-ДВИГ.АПАРАТ,без,222
552,552,и,сетивност,222
554,554,б.о,ПЛВ,222
555,555,ясни,и,222
557,557,чисти,ясни,221
558,558,на,периферни,220
559,559,за,долни,219
562,562,сетивност,и,216
563,563,единични,сухи,216
565,565,С-МА,б.о,215
566,566,дишане,в,215
567,567,на,долните,214
569,569,двустранно,ОДА,214
571,571,б.о,ПСИХИЧЕСКИ,213
573,573,без,патология,213
577,577,карцином,на,211
578,578,запазена,сетивност,211
582,582,глава,и,210
584,584,б.о,МАНУАЛНО,208
586,586,промени,по,207
588,588,дясна,гърда,206
589,589,стени,без,206
591,591,КОЖА,б.о,205
594,594,мек,с,204
595,595,с,единични,204
596,596,ЧВД,без,204
597,597,патологични,промени,204
598,598,възраст,отговаряща,202
599,599,кош,мек,202
600,600,еластични,стени,202
602,602,СЛУХ,в,201
603,603,систоличен,шум,201
