,First,Second
0,ПИКОЧО-ПОЛОВО,С-МА
1,Артериално,налягане
2,(,Score
3,Score,)
4,Съдечен,статус
5,Корем,меко-еластичен
6,везиколарно,дишане
7,сърд,гран
8,Явява,се
9,Ч.ДР,И
10,на,артериите
11,на,гръд.кош
12,смущ,в
13,без,доб
14,доб,хрипове
15,Авто,и
16,С-Фр,у
17,рефлекси,Отпадна
18,условията,на
19,РСД,яс
20,яс,тон
21,сърд,гран.в
22,гран.в,норма
23,се,постигне
24,НА,ВЪРХА
25,Цветно,зрение
26,на,Аорта
27,на,извънболничната
28,извънболничната,помощ
29,тъй,като
30,Лечебната,цел
31,Височина,см
32,Об.талия,см
33,Нв,Корем
34,мек,респиратнорно
35,респиратнорно,подвижен
36,да,бъда
37,да,осигури
38,да,заплати
39,заплати,при
40,при,назначаването
41,назначаването,им
42,за,ХСМ.Мек
43,ХСМ.Мек,Физ
44,без,хроп
45,хроп,находка
46,осигури,достатъчен
47,достатъчен,РС
48,Cor,Р.С.Д.фр
49,ритмична,сър.д-ст
50,Оглед,палпация
51,Пулсова,честота
52,от,Крайничци
53,Крайничци,леки
54,Мекоеластична,коремна
55,лимни,възли
56,ЗА,ВЪЗРАСТТА
57,Не,желая
58,желая,да
59,Шиини,вени
60,НЕВРОЛОГИЧИН,СТАТУС
61,на,аа.дорзалис
62,с,изтръпвания
63,изтръпвания,и
64,за,преписване
65,преписване,на
66,Sus.ren,(
67,С,МЕКО-ЕЛАСТ
68,типа,на
69,кръвоносни,съдове
70,тест,лента
71,и,вид.разширени
72,Д,мин.Мл
73,мин.Мл,жлези
74,се,палп.СРД
75,палп.СРД,СРС
76,перкуторен,тон.Сърце
77,тон.Сърце,ритмична
78,dorsalis,pedis
79,ритм.Корем,Мек
80,начин,на
81,взет,на
82,гръбначен,стълб
83,магистрални,А.А
84,А.А,кръвоносни
85,систолно,диастолно
86,изместена,междинна
87,),mm.Hg
88,mm.Hg,П
89,е,съгласен
90,съгласен,да
91,на,Диспансерно
92,чужда,помощ
93,РНФ,СД
94,Корем,нна
95,нна,нивото
96,Паренхимни,органи
97,mm,Hg.Крайници
98,RR,л.р
99,се,палпрат
100,височина,см
101,общо,съст.Пулмо
102,И,ВИД.ЛИГ
103,слезка,неув.Сок.реналис
104,Сьгласен,сьм
105,сьм,да
106,на,достъпните
107,ПО,ХОДА
108,назначената,терапия
109,добре,напьлнен-NUM
110,мин.Неврологичен,статус
111,на,съдовете
112,и,апикално
113,СЪРЦЕ,Ритм.сърд.д
114,ум.Запазено,съотношение
115,тест,ленти
116,на,a.tibialis
117,ребрена,дъга.Сук.реналис
118,без,шум.находка
119,маркирани,отоци
120,Cor,р.с.д-ясни
121,с,p.max
122,p.max,на
123,Cor,ритм.неускорена
124,ритм.неускорена,сърд.дейност
125,с,акцентуация
126,акцентуация,на
127,акц.на,А
128,мм,живак
129,уд,мин.Д
130,мин.Д,С.
131,стени-неболезнен,при
132,дъга.Сук.реналис,отр.дв.крайници
133,отр.дв.крайници,артрозно
134,на,ларинкса
135,загуба,на
136,сетивност-в,норма
137,дьлбока,сетивност
138,Cor,риттмична
139,риттмична,сърд
140,за,перитоненеално
141,перитоненеално,дразнене
142,Фр=,мин
143,кош,сичметричен
144,на,ляво.RR
145,на,Артериалното
146,пикочния,мехур
147,сухота,в
148,изтичане,на
149,и,алоориентиран
150,отговарящ,на
151,ритм.сърдечна,дейност
152,без,пр.шумове
153,дор,педс
154,рак,на
155,физикални,данни
156,лещено,зърно
157,Тегло,кг.Ръст
158,се,палп.увел
159,и,a.poplitea
160,Акцентуиран,IIАо
161,слезка,неув.Опорно-двиг
162,неув.Опорно-двиг,апарат
163,ЩЖ-неувел,няма
164,кръвното,налягане
165,подд.мес,терапия
166,НАЛИЧИЕ,НА
167,реполаризационни,промени
168,Ало,и
169,и,автопсихично
170,опорно-двигателен,апарат
171,без,прибав
172,съвети,за
173,на,талията
174,НА,ГРЪДНИЯ
175,mm,Hg.СЧ-NUM
176,Hg.СЧ-NUM,уд
177,без,пр.хр
178,добър,мусулен
179,мусулен,тонус
180,в,мин.Cor-ритмична
181,мин.Cor-ритмична,сърдечна
182,уд,мин.ХС
183,Адекватен,Дриентиран
184,Дриентиран,за
185,време,исобствена
186,исобствена,личност
187,искане,на
188,рискови,фактори
189,Симптом,на
190,ПИКОЧО-ПОЛОВА,С-МА
191,Придвижва,се
192,изчерпващ,се
193,общо,съст.ПЛВ
194,и,сетивност-нормални
195,граници-в,норма
196,перкоторен,тон
197,лиен,не-увелич
198,Angiosclerosis,retine
199,р.,Дъга.Невр
200,Дъга.Невр,статус
201,със,ЗСП
202,ЗСП,на
203,Визус,ос-NUM
204,тонове,ясни.АН
205,личност,Афиблилен
206,Афиблилен,Пулмо
207,тон,Сьрце
208,нормални,зраници
209,зраници,за
210,на,живот
211,Движи,се
212,крайници,неотточни
213,Cor,fRR
214,хепато,и
215,ШИЯ,Б.О.КОЖА
216,на,а.радиалис
217,ценз,КОРЕМ
218,ОПЛАКВА,СЕ
219,при,обичайни
220,Cor-А,РСД
221,лиен,неув.RR
222,позата,на
223,СИНУСОВ,РИТЪМ
224,дани,за
225,уд,мин.Коремни
226,cor-Б.о,RR
227,с,пунктум
228,общо,състояние.Пулмо
229,ОС.Pulmo-везикуларно,дишане
230,пуслации,на
231,хепар-и-слезка,неувел
232,сърдечна,деинност
233,деинност,АН
234,ren,отр.двуст
235,граници-норма,рит
236,заседнал,начин
237,глюкоза,протеини
238,протеини,кетонни
239,Лим,възли
240,при,палпац
241,тон,симетримчен
242,симетримчен,гръден
243,нормо,фреквентен
244,фреквентен,RR
245,запазени,пуслации
246,на,aa.dorsalis
247,aa.dorsalis,pedis
248,на,Mi
249,Mi,и
250,палп,увел.SR
251,увел.SR,отр
252,НСХ.Кожа,и
253,засилващи,се
254,Висши,корови
255,НАД,СИМФИЗАТА
256,Периферен,пулс
257,ф-NUM,уд
258,с.ч,у.м.Чисто
259,у.м.Чисто,везикуларно
260,Кетонни,тела
261,отрича,ЕПИ.Без
262,ЕПИ.Без,психични
263,Щит,жл-неувеличена
264,жл-неувеличена,Пулмо
265,да,бьда
266,бьда,диспансеризиран
267,ПРОМЕНИ,ХАРАКТЕРНИ
268,ХАРАКТЕРНИ,ЗА
269,Издава,се
270,действие,приложение
271,приложение,странични
272,цена,заплащана
273,Синдром,на
274,жл,неув.П.Л.В
275,поясни,прешлени
276,се,получават
277,Пулс.ч,Cor
278,IIАо,тон.Систоличен
279,хиперстезия,от
280,и,билирубин-отр.р
281,билирубин-отр.р,Н-NUM
282,RR,NUM-л.р
283,Ножа,и
284,Мамологичен,статус
285,Запланувана,за
286,има,лекарствени
287,УДЪЛЖЕНО,ИЗДИШВАНЕ
288,аускултаторна,находка
289,Външно,дишане-нормално
290,дишане-нормално,фр
291,на,магистралните
292,хрипове,крепитаций
293,крепитаций,и
294,диспансерен,преглед-след
295,преглед-след,месеца
296,ВЕЗИК,ДИШАНЕ
297,псих,развитие-норм
298,сьрдечни,тонове
299,П.Л,В-ли
300,В-ли,б.о
301,Б.о.Пер,вени
302,Рьст,см.Тегло
303,о.д,о.с
304,гръдния,кош.Hepar
305,кош.Hepar,et
306,на,вид.възр
307,бели,дробове-вез.дишане
308,отделяне,на
309,засилваща,се
310,ИЗПИСВАНЕ,НА
311,с,по-ниска
312,по-ниска,цена
313,сърдечносъдови,заболявания
314,ПО,ПОВОД
315,Консултация,с
316,лекарство,неговото
317,неговото,действие
318,частично,заплащане
319,заплащане,от
320,същото,международно
321,международно,непатентно
322,несмутена,Степен
323,Степен,на
324,неврологичния,статус
325,Cor,РНСД.АН
326,кг,кв.м
327,в,акта
328,акта,на
329,визикуларно,дишане
330,хепар-не,се
331,без,приб.хрипове
332,у,м.Коремен
333,м.Коремен,статус
334,мек,небол-н
335,небол-н,хепар
336,без,отоци-двустранно
337,мек,палп-небол
338,палп-небол,пер-физ
339,RR,фрикв
340,Пер,вени.бо
341,се,палпираха
342,б.о,А.Н-NUM
343,А.Н-NUM,Пулс.ч
344,позите,за
345,Зрение,о.д
346,отгов,на
347,и,образователния
348,образователния,ценз
349,палп,увел.Гр
350,увел.Гр,кош-нормостеничен
351,Урина,allb
352,allb,отр
353,отр,Глюк
354,и,алоориентирана
355,в,ритъма
356,ритъма,и
357,и,проводимостта
358,Сук,рен.отр.ОДА
359,болезнененост,в
360,отр,П.р.л.в
361,П.р.л.в,б.о
362,на,сърд.връх.RR
363,на,поясните
364,на,аа.д.педис
365,общо,съсояние
366,пунктум,максимум
367,максимум,на
368,подребрената,дъга
369,CСС,Оглед
370,фрикв,уд
371,б.о,Щжлеза
372,Щжлеза,б.о
373,Вез.диш,РСД
374,на,к-те.НС
375,с.д-ст,уд
376,т,уроб.N
377,уроб.N,бил
378,мисл,процес
379,Vis,oc
380,Cor,нормални-сърдечни
381,нормални-сърдечни,граници
382,съмнение,за
383,прескачане,на
384,консултативен,преглед
385,с,неправилна
386,СЛЕЗКА,нeувеличени
387,Пациентакат,е
388,за,самоопипване
389,самоопипване,на
390,Сист,шум
391,В,ОСНОВИТЕ
392,от,групата
393,групата,на
394,РСД,ед.надкамерни
395,ед.надкамерни,екстрасистули
396,ЕЗИК,ВЛАЖЕН
397,дишането,дишания
398,дишания,мин
399,ССС,Деформации
400,ПВМ-без,данни
401,уд,мин.Сърдечни
402,мин.Сърдечни,перкуторни
403,мек.Черен,дроб
404,кетони,РН-норма
405,РН-норма,VOD-NUM
406,на,стъпалните
407,без,хипове
408,увел.Сук,рен
409,няма,хсм.Сук.рен
410,Грьден,кош
411,Cor,ритм-сьрд-дейност
412,колянната,става
413,mm,Hg.Хр
