,Word,Count
0,и,31679
1,на,27252
2,без,27204
3,б.о,22399
5,корем,17239
7,в,16477
8,дишане,14264
9,мек,12803
10,РСД,12270
11,с,12264
12,тонове,11832
13,се,10480
14,отоци,10069
15,не,9817
16,дейност,9076
17,ясни,8517
20,за,8093
21,крайници,7748
23,сърдечна,6929
24,неболезнен,6524
25,хрипове,6524
26,дроб,6019
27,ритмична,5503
28,по,5476
29,статус,5347
30,общо,5303
31,двустранно,5145
32,ССС,5140
34,състояние,4609
37,палпират,4399
38,слезка,4386
41,от,4249
43,чисто,4004
44,кожа,3836
45,шумове,3583
46,болезнен,3569
49,тон,3239
50,пулсации,3199
51,лигавици,3127
52,норма,3109
53,ОДА,3069
54,при,3051
55,прибавени,3027
56,черен,2948
57,жлеза,2933
58,неувеличени,2913
59,ИТМ,2676
61,КОРЕМ,2605
62,кг,2568
64,стени,2458
65,ДРОБ,2455
66,СЪРЦЕ,2446
67,запазени,2429
69,БЯЛ,2366
70,видими,2319
71,палпаторно,2294
72,СПЕЦ.СТАТУС,2279
73,цикатрикс,2279
74,болка,2215
75,ОПОРНО-ДВИГ.АПАРАТ,2215
76,увеличени,2184
77,кош,2180
78,вени,2139
79,данни,2047
82,спокоен,1987
83,перкуторен,1972
84,лява,1964
85,добро,1935
87,дясно,1890
88,дясна,1881
89,сърдечни,1854
92,ясен,1788
94,палпаторна,1774
95,тегло,1770
96,болезненост,1753
97,промени,1743
99,ЧВД,1700
100,И,1674
101,жлези,1663
102,у,1655
103,В,1651
104,дъга,1638
106,перисталтика,1630
108,двете,1619
110,пулс,1611
111,реналис,1607
112,С,1604
113,нивото,1600
115,находка,1583
116,отслабено,1564
117,шия,1564
119,сухи,1536
120,възли,1530
121,НА,1524
122,палпира,1520
123,сетивност,1517
124,ръст,1512
125,розови,1504
127,ПЛВ,1492
128,движения,1485
129,ритъм,1474
131,меко-еластични,1434
132,запазена,1414
133,СЛЕЗКА,1391
134,със,1383
135,глава,1379
136,ляво,1359
137,патологични,1355
140,нормофреквентна,1341
141,е,1335
142,рефлекси,1305
145,А,1274
147,талия,1264
148,леко,1263
150,),1247
151,сърце,1247
152,над,1230
153,ШИЯ,1228
154,КОЖА,1227
155,ГЪРЛО,1221
156,ПЕРИФЕРНИ,1218
157,ГЛАВА,1205
158,(,1195
159,долни,1181
160,чисти,1181
162,шум,1148
163,оперативен,1141
166,периферни,1119
167,ЧМН,1077
171,глухи,1050
172,БЕЗ,1049
174,mm,1047
175,няма,1044
176,под,1037
178,щитовидна,1010
179,гърло,1007
180,психичен,991
184,СТАТУС,973
186,задоволително,961
188,ПУЛС,958
189,свиркащи,957
192,ВЪЗЛИ,949
193,подбедриците,946
194,ЛИМФНИ,942
197,след,917
199,нормално,911
200,отклонения,887
201,измерване,886
202,областта,884
204,честота,878
208,ДС,857
209,стави,856
210,оток,844
211,тип,837
212,налягане,833
214,нормална,831
215,ЕЗИК,824
221,изострено,801
223,щит,799
224,застой,783
226,болезнени,779
229,лечение,768
230,хода,768
231,лимфни,763
234,влажни,754
235,област,754
236,СД,750
238,бял,743
239,млечни,724
244,болки,712
245,ограничени,706
246,VOS,705
247,намалена,704
248,зрение,702
249,около,700
251,повод,697
252,острота,690
253,увеличена,689
255,гърда,686
256,съдове,681
257,с-ма,679
259,СНР,671
261,нормален,665
263,граници,656
264,ребрена,655
265,система,649
266,ребрената,643
267,запазен,634
268,ЗРЕНИЕ,634
269,ДИШАНЕ,632
271,VOD,630
272,цветоусещане,629
274,акцентуиран,624
275,оплаква,623
277,става,621
278,визус,620
280,синдром,616
282,време,614
283,разширени,614
288,неувеличена,608
289,бледи,604
291,шумова,602
292,да,601
293,място,598
294,артрозни,587
296,меки,582
298,единични,567
300,о.,562
301,СЛУХ,562
302,възрастта,560
306,подбедрици,549
307,увредено,549
310,ляв,544
311,нормални,540
312,преглед,540
313,добре,538
314,органи,534
316,терапия,531
317,cm,529
318,бледо,524
319,липсва,518
320,далак,515
321,тонус,515
324,ВЕНИ,507
327,неувеличен,501
328,С-МА,501
329,походка,500
330,коленни,499
331,КРАЙНИЦИ,499
332,пол,497
334,зрителна,495
335,изменения,492
336,до,491
337,слух,490
338,увеличен,486
339,хипестезия,486
340,отслабени,480
342,ПСИХИЧЕСКИ,478
343,гръдния,475
344,оплаквания,474
345,грубо,471
346,ръка,471
347,гръден,470
348,обложен,470
351,с-е,465
352,силно,464
354,симетричен,461
355,ЖЛЕЗИ,458
357,синусов,457
358,консистенция,454
360,десен,448
361,подребрие,445
362,ПИКОЧО-ПОЛОВО,440
364,леки,439
365,МЛ,439
366,наличие,439
367,намален,438
369,дребни,435
370,корекция,434
371,кръвно,434
373,стъпало,434
374,ориентиран,430
375,запазено,429
376,симфизата,429
377,симптоматика,428
379,вид,426
380,има,426
381,оттоци,425
382,издишване,424
383,МЕК,424
385,формации,422
386,ТОНОВЕ,420
387,език,418
388,ЗА,418
390,промяна,414
393,син,408
394,удължен,408
395,апарат,407
396,а,406
398,корема,400
399,рана,399
400,върха,397
404,подвижен,392
405,претибиални,392
406,ДЕЙНОСТ,391
408,коремни,389
410,добра,388
411,варици,387
412,ФР,386
414,половина,385
415,ОТОЦИ,383
418,експириум,380
419,обем,380
425,МАНУАЛНО,376
