,Word,Count
0,и,31679
1,на,27252
2,без,27204
3,б.о,22399
4,RR,22049
5,Корем,17239
6,Cor,16872
7,в,16477
8,дишане,14264
9,мек,12803
10,РСД,12270
11,с,12264
12,тонове,11832
13,се,10480
14,отоци,10069
15,не,9817
16,дейност,9076
17,ясни,8517
18,Пулмо,8514
19,мин,8215
20,за,8093
21,Крайници,7748
22,везикуларно,7612
23,сърдечна,6929
24,хрипове,6524
25,неболезнен,6524
26,дроб,6019
27,ритмична,5503
28,по,5476
29,статус,5347
30,общо,5303
31,двустранно,5145
32,ССС,5140
33,АН,5116
34,състояние,4609
35,уд,4571
36,см,4545
37,палпират,4399
38,слезка,4386
39,вез,4338
40,крайници,4279
41,от,4249
42,фр,4087
43,чисто,4004
44,Кожа,3836
45,шумове,3583
46,болезнен,3569
47,сърд,3559
48,отр,3379
49,тон,3239
50,пулсации,3199
51,лигавици,3127
52,норма,3109
53,ОДА,3069
54,при,3051
55,прибавени,3027
56,Черен,2948
57,жлеза,2933
58,неувеличени,2913
59,ИТМ,2676
60,Pulmo,2665
61,КОРЕМ,2605
62,кг,2568
63,Чисто,2481
64,стени,2458
65,ДРОБ,2455
66,СЪРЦЕ,2446
67,корем,2429
68,запазени,2429
69,БЯЛ,2366
70,видими,2319
71,палпаторно,2294
72,цикатрикс,2279
73,СПЕЦ.СТАТУС,2279
74,болка,2215
75,ОПОРНО-ДВИГ.АПАРАТ,2215
76,увеличени,2184
77,кош,2180
78,вени,2139
79,данни,2047
80,палпация,2028
81,ритм,2006
82,спокоен,1987
83,перкуторен,1972
84,лява,1964
85,Добро,1935
86,fr,1909
87,дясно,1890
88,дясна,1881
89,сърдечни,1854
90,Без,1813
91,органомегалия,1803
92,ясен,1788
93,Ритмична,1784
94,палпаторна,1774
95,тегло,1770
96,болезненост,1753
97,промени,1743
98,Фр,1706
99,ЧВД,1700
100,И,1674
101,жлези,1663
102,у,1655
103,В,1651
104,дъга,1638
105,ет,1636
106,перисталтика,1630
107,SUCC.REN,1621
108,двете,1619
109,Р.С.Д,1615
110,пулс,1611
111,реналис,1607
112,С,1604
113,нивото,1600
114,гр,1595
115,находка,1583
116,шия,1564
117,отслабено,1564
118,двустр,1556
119,сухи,1536
120,възли,1530
121,НА,1524
122,палпира,1520
123,сетивност,1517
124,ръст,1512
125,розови,1504
126,б.,1496
127,ПЛВ,1492
128,движения,1485
129,ритъм,1474
130,Fr,1454
131,меко-еластични,1434
132,запазена,1414
133,СЛЕЗКА,1391
134,със,1383
135,Глава,1379
136,ляво,1359
137,патологични,1355
138,жл,1345
139,рен,1344
140,нормофреквентна,1341
141,е,1335
142,рефлекси,1305
143,Сук,1305
144,ЧЕР.ДРОБ,1289
145,А,1274
146,R.R,1273
147,талия,1264
148,леко,1263
149,ЕКГ,1261
150,),1247
151,Сърце,1247
152,над,1230
153,ШИЯ,1228
154,КОЖА,1227
155,ГЪРЛО,1221
156,ПЕРИФЕРНИ,1218
157,ГЛАВА,1205
158,(,1195
159,долни,1181
160,чисти,1181
161,кожа,1175
162,шум,1148
163,оперативен,1141
164,СЧ,1133
165,Ясни,1123
166,периферни,1119
167,ЧМН,1077
168,ст,1069
169,палп,1063
170,вез.дишане,1056
171,глухи,1050
172,БЕЗ,1049
173,Не,1048
174,mm,1047
175,няма,1044
176,под,1037
177,Сл,1034
178,Щитовидна,1010
179,Гърло,1007
180,Психичен,991
181,Чр.Др,991
182,Хепар,985
183,min,983
184,СТАТУС,973
185,об,972
186,Задоволително,961
187,неув,959
188,ПУЛС,958
189,свиркащи,957
190,везик,955
191,Тегло,954
192,ВЪЗЛИ,949
193,подбедриците,946
194,ЛИМФНИ,942
195,SR,928
196,след,917
197,Периферни,917
198,Неврологичен,916
199,нормално,911
200,отклонения,887
201,Измерване,886
202,областта,884
203,пулмо,884
204,честота,878
205,Ч.дроб,873
206,лиен,868
207,Hg,866
208,ДС,857
209,стави,856
210,оток,844
211,тип,837
212,налягане,833
213,епигастриума,831
214,нормална,831
215,ЕЗИК,824
216,мл,822
217,Ч.,817
218,Мек,816
219,черен,812
220,хрипова,803
221,изострено,801
222,Пулс,799
223,Щит,799
224,Ръст,783
225,застой,783
226,болезнени,779
227,Succ.ren,776
228,хепар,772
229,лечение,768
230,хода,768
231,лимфни,763
232,м,759
233,Няма,758
234,област,754
235,влажни,754
236,СД,750
237,дв,746
238,Бял,743
239,Млечни,724
240,хр,720
241,Р,719
242,Сукусио,718
243,RR-NUM,716
244,болки,712
245,ограничени,706
246,VOS,705
247,намалена,704
248,Зрение,702
249,около,700
250,S.R,700
251,повод,697
252,острота,690
253,увеличена,689
254,Запазени,688
255,гърда,686
256,съдове,681
257,с-ма,679
258,О.,674
259,С.,671
260,СНР,671
261,нормален,665
262,сърд.дейност,657
263,граници,656
264,ребрена,655
265,система,649
266,ребрената,643
267,ЗРЕНИЕ,634
268,запазен,634
269,ДИШАНЕ,632
270,et,632
271,VOD,630
272,цветоусещане,629
273,неувел,627
274,акцентуиран,624
275,Оплаква,623
276,става,621
277,ритм.сърд.дейност,621
278,Визус,620
279,Д.,617
280,синдром,616
281,Общо,615
282,разширени,614
283,време,614
284,Ч,614
285,зрение,612
286,Везикуларно,612
287,СЧ-NUM,610
288,неувеличена,608
